country,location_count,date
AE,4,2024-09-30
AR,17,2024-09-30
AT,84,2024-09-30
AU,481,2024-09-30
AX,1,2024-09-30
BE,89,2024-09-30
BG,3,2024-09-30
BH,1,2024-09-30
BM,1,2024-09-30
BR,6,2024-09-30
CA,511,2024-09-30
CH,40,2024-09-30
CL,1,2024-09-30
CN,3,2024-09-30
CO,1,2024-09-30
CR,1,2024-09-30
CZ,11,2024-09-30
DE,138,2024-09-30
DK,35,2024-09-30
DO,1,2024-09-30
EE,2,2024-09-30
ES,84,2024-09-30
FI,107,2024-09-30
FR,275,2024-09-30
GB,176,2024-09-30
GE,1,2024-09-30
GG,1,2024-09-30
GI,1,2024-09-30
GR,6,2024-09-30
HK,3,2024-09-30
HR,5,2024-09-30
HU,24,2024-09-30
ID,2,2024-09-30
IE,7,2024-09-30
IL,18,2024-09-30
IN,1,2024-09-30
IT,96,2024-09-30
JP,78,2024-09-30
LT,1,2024-09-30
LU,3,2024-09-30
MV,1,2024-09-30
MX,10,2024-09-30
MY,1,2024-09-30
NC,1,2024-09-30
NL,80,2024-09-30
NO,13,2024-09-30
NZ,63,2024-09-30
PA,1,2024-09-30
PH,1,2024-09-30
PL,52,2024-09-30
PR,1,2024-09-30
PT,11,2024-09-30
RO,2,2024-09-30
RS,5,2024-09-30
RU,1,2024-09-30
SE,85,2024-09-30
SG,3,2024-09-30
SI,4,2024-09-30
SK,2,2024-09-30
SM,1,2024-09-30
TH,9,2024-09-30
TR,6,2024-09-30
TW,7,2024-09-30
US,8080,2024-09-30
VE,1,2024-09-30
VI,2,2024-09-30
ZA,10,2024-09-30
AE,4,2024-10-07
AR,17,2024-10-07
AT,84,2024-10-07
AU,482,2024-10-07
AX,1,2024-10-07
BE,89,2024-10-07
BG,3,2024-10-07
BH,1,2024-10-07
BM,1,2024-10-07
BR,6,2024-10-07
CA,512,2024-10-07
CH,40,2024-10-07
CL,1,2024-10-07
CN,3,2024-10-07
CO,1,2024-10-07
CR,1,2024-10-07
CZ,11,2024-10-07
DE,139,2024-10-07
DK,35,2024-10-07
DO,1,2024-10-07
EE,2,2024-10-07
ES,85,2024-10-07
FI,107,2024-10-07
FR,275,2024-10-07
GB,176,2024-10-07
GE,1,2024-10-07
GG,1,2024-10-07
GI,1,2024-10-07
GR,6,2024-10-07
HK,4,2024-10-07
HR,5,2024-10-07
HU,24,2024-10-07
ID,2,2024-10-07
IE,7,2024-10-07
IL,18,2024-10-07
IN,1,2024-10-07
IT,96,2024-10-07
JP,78,2024-10-07
LT,1,2024-10-07
LU,3,2024-10-07
MA,1,2024-10-07
MV,1,2024-10-07
MX,10,2024-10-07
MY,1,2024-10-07
NC,1,2024-10-07
NL,80,2024-10-07
NO,13,2024-10-07
NZ,64,2024-10-07
PA,1,2024-10-07
PH,1,2024-10-07
PL,53,2024-10-07
PR,1,2024-10-07
PT,11,2024-10-07
RO,2,2024-10-07
RS,5,2024-10-07
RU,1,2024-10-07
SE,87,2024-10-07
SG,3,2024-10-07
SI,4,2024-10-07
SK,2,2024-10-07
SM,1,2024-10-07
TH,9,2024-10-07
TR,6,2024-10-07
TW,7,2024-10-07
US,8076,2024-10-07
VE,1,2024-10-07
VI,2,2024-10-07
ZA,10,2024-10-07
AE,4,2024-10-14
AR,17,2024-10-14
AT,84,2024-10-14
AU,481,2024-10-14
AX,1,2024-10-14
BE,89,2024-10-14
BG,3,2024-10-14
BH,1,2024-10-14
BM,1,2024-10-14
BR,6,2024-10-14
CA,514,2024-10-14
CH,40,2024-10-14
CL,1,2024-10-14
CN,3,2024-10-14
CO,1,2024-10-14
CR,1,2024-10-14
CZ,11,2024-10-14
DE,141,2024-10-14
DK,35,2024-10-14
DO,1,2024-10-14
EE,2,2024-10-14
ES,86,2024-10-14
FI,107,2024-10-14
FR,276,2024-10-14
GB,173,2024-10-14
GE,1,2024-10-14
GG,1,2024-10-14
GI,1,2024-10-14
GR,6,2024-10-14
HK,4,2024-10-14
HR,5,2024-10-14
HU,24,2024-10-14
ID,2,2024-10-14
IE,7,2024-10-14
IL,18,2024-10-14
IN,1,2024-10-14
IT,96,2024-10-14
JP,78,2024-10-14
LT,1,2024-10-14
LU,3,2024-10-14
MA,1,2024-10-14
MV,1,2024-10-14
MX,10,2024-10-14
MY,1,2024-10-14
NC,1,2024-10-14
NL,80,2024-10-14
NO,13,2024-10-14
NZ,64,2024-10-14
PA,1,2024-10-14
PH,1,2024-10-14
PL,53,2024-10-14
PR,1,2024-10-14
PT,11,2024-10-14
RO,2,2024-10-14
RS,5,2024-10-14
RU,1,2024-10-14
SE,87,2024-10-14
SG,3,2024-10-14
SI,4,2024-10-14
SK,2,2024-10-14
SM,1,2024-10-14
TH,9,2024-10-14
TR,6,2024-10-14
TW,7,2024-10-14
US,8081,2024-10-14
VE,1,2024-10-14
VI,2,2024-10-14
ZA,10,2024-10-14
AE,4,2024-10-21
AR,17,2024-10-21
AT,85,2024-10-21
AU,484,2024-10-21
AX,1,2024-10-21
BE,88,2024-10-21
BG,3,2024-10-21
BH,1,2024-10-21
BM,1,2024-10-21
BR,6,2024-10-21
CA,513,2024-10-21
CH,40,2024-10-21
CL,1,2024-10-21
CN,3,2024-10-21
CO,1,2024-10-21
CR,1,2024-10-21
CZ,11,2024-10-21
DE,143,2024-10-21
DK,35,2024-10-21
DO,1,2024-10-21
EE,2,2024-10-21
ES,86,2024-10-21
FI,108,2024-10-21
FR,280,2024-10-21
GB,172,2024-10-21
GE,1,2024-10-21
GG,1,2024-10-21
GI,1,2024-10-21
GR,6,2024-10-21
HK,4,2024-10-21
HR,5,2024-10-21
HU,24,2024-10-21
ID,2,2024-10-21
IE,7,2024-10-21
IL,18,2024-10-21
IN,1,2024-10-21
IT,96,2024-10-21
JP,78,2024-10-21
LT,1,2024-10-21
LU,3,2024-10-21
MA,1,2024-10-21
MV,1,2024-10-21
MX,10,2024-10-21
MY,1,2024-10-21
NC,1,2024-10-21
NL,82,2024-10-21
NO,13,2024-10-21
NZ,63,2024-10-21
PA,1,2024-10-21
PH,1,2024-10-21
PL,53,2024-10-21
PR,2,2024-10-21
PT,11,2024-10-21
RO,2,2024-10-21
RS,5,2024-10-21
RU,1,2024-10-21
SE,87,2024-10-21
SG,3,2024-10-21
SI,4,2024-10-21
SK,2,2024-10-21
SM,1,2024-10-21
TH,9,2024-10-21
TR,6,2024-10-21
TW,7,2024-10-21
US,8088,2024-10-21
VE,1,2024-10-21
VI,2,2024-10-21
ZA,10,2024-10-21
